base_course,other_course,overall
ACCT401,BUSI487,0.07773047072086396
ACCT401,BUSI411,0.07602764258762307
ACCT401,BIOL415L,0.07501602419574761
ACCT401,ACCT470,0.0742765263899656
ACCT401,WMUS400,0.07392607227045608
ACCT401,WRSP410,0.0733369253423472
ACCT401,CSIS408,0.07273222626417049
ACCT401,CINE452,0.07189614762858756
ACCT401,SCOM490,0.07105499639830246
ACCT401,CINE455,0.06927194769623646
ACCT401,BUSI455,0.06892435245526764
ACCT401,CSIS461,0.06731630446487927
ACCT401,CSIS474,0.06666212633214755
ACCT401,TESL405,0.0654416663942725
ACCT401,HSER415,0.06473499755822774
ACCT401,HSER499,0.06473499755822774
ACCT402,ACCT403,0.18981757309554745
ACCT402,ACCT401,0.14733018063147124
ACCT402,ACCT470,0.11751905251016159
ACCT402,ACCT404,0.11075706294879692
ACCT402,WRSP410,0.09382776409351662
ACCT402,SCOM490,0.09272669972193014
ACCT402,ACCT412,0.08519494993124012
ACCT402,BCOU450,0.08372022894234285
ACCT402,BUSI422,0.07816061359033577
ACCT402,BUSI420,0.07413722520342474
ACCT402,CMUS462,0.07412996391455554
ACCT402,BUSI489,0.07294137924858679
ACCT402,ACCT406,0.07136855952480659
ACCT402,CLED499,0.06904171284232666
ACCT402,SMGT404,0.06680674091698632
ACCT402,CLED489,0.06557221866081539
ACCT402,GOVT409,0.06527670209099876
ACCT402,CSIS461,0.064979705846812
ACCT402,BIOL415L,0.06440800526825838
ACCT402,MISC491,0.06236095021667168
ACCT402,BUSI405,0.06144318806616387
ACCT402,CLCM489,0.060331898196940716
ACCT402,AVIA436,0.05927691489989525
ACCT402,CSIS484,0.05914571568546398
ACCT402,CINE455,0.0585108906089178
ACCT403,ACCT402,0.18981757309554745
ACCT403,PADM462,0.13059068118091158
ACCT403,ACCT470,0.1147649109092072
ACCT403,CLED499,0.11135962119336831
ACCT403,ACCT401,0.10681940155562669
ACCT403,ACCT406,0.0938028981489796
ACCT403,SMGT404,0.09149873401500722
ACCT403,ACCT412,0.08455661246969305
ACCT403,GOVT425,0.08453904772024444
ACCT403,ACCT404,0.08131511755782214
ACCT403,SCOM490,0.0809982959204566
ACCT403,SMGT405,0.0803901425782399
ACCT403,MATH450,0.07902749058521372
ACCT403,BUSI422,0.06932267485920779
ACCT403,SMGT410,0.06929074920525075
ACCT403,BUSI454,0.06884719265986321
ACCT403,BIOL402,0.06764249441781259
ACCT403,BIOL421,0.06764249441781259
ACCT403,GEOG495,0.06723896678408137
ACCT403,WRSP410,0.06629034107552259
ACCT403,BUSI460,0.0645114366992846
ACCT403,HMGT405,0.06361624103993282
ACCT403,MATH430,0.06289348033264239
ACCT403,FACS460,0.06200880317779495
ACCT403,BUSI482,0.0604906782201406
ACCT404,BIOL421,0.11859783566910839
ACCT404,ACCT402,0.11075706294879692
ACCT404,ACCT401,0.10650326418499612
ACCT404,ACCT470,0.10392621174340652
ACCT404,SCOM490,0.10367393445165182
ACCT404,BUSI454,0.0938869783605272
ACCT404,BIOL415L,0.08813363718061212
ACCT404,WRSP410,0.0823851689236251
ACCT404,ACCT403,0.08131511755782214
ACCT404,ACCT432,0.0809208785539321
ACCT404,BCOU450,0.08057581942770996
ACCT404,BUSI405,0.07815502299844744
ACCT404,BIOL402,0.07720326481218875
ACCT404,BIOL465,0.07720326481218875
ACCT404,CSIS484,0.07568961908073456
ACCT404,AVIA436,0.07432411835016005
ACCT404,HSER415,0.07219698054675722
ACCT404,HSER499,0.07219698054675722
ACCT404,AVIA419,0.0654646332351652
ACCT404,BUSI455,0.06503656985744954
ACCT404,ACCT412,0.0638361879025417
ACCT404,CLED499,0.061268442230558676
ACCT404,CINE455,0.06070736916496461
